asn,count,bad_count,CCA
EDIS GmbH,3,3,1.0
Greenhost BV,3,0,0.0
Datalogika Ltd.,3,0,0.0
JSC Kazakhtelecom,3,1,0.3333333333333333
O.m.c. Computers & Communications Ltd,3,1,0.3333333333333333
EBOUNDHOST.com,3,0,0.0
Neocities,3,2,0.6666666666666666
Universo Online S.A.,3,2,0.6666666666666666
Cyso Group B.V.,3,0,0.0
Azion Technologies Ltda.,3,0,0.0
Webzilla Inc.,3,0,0.0
Web4U s.r.o.,3,2,0.6666666666666666
ECS Rockenschaub GmbH,3,0,0.0
"Fly.io, Inc.",3,0,0.0
UpCloud USA Inc,3,3,1.0
Partner Hosting LTD,3,2,0.6666666666666666
OmniSync Networks,3,0,0.0
ITSOFT LLC,3,0,0.0
EXEA Sp. z o.o.,3,1,0.3333333333333333
1&1 Versatel GmbH,3,0,0.0
Scala Hosting LLC,3,1,0.3333333333333333
Bradler & Krantz GmbH & Co. KG,3,0,0.0
"Hubei Feixun Network Co., Ltd",3,0,0.0
Edgenext Legend Dynasty Pte. Ltd.,3,0,0.0
Hostnet B.V.,3,0,0.0
Net Gate Telecom S.R.L.,3,3,1.0
CrocWeb,3,0,0.0
"NetActuate, Inc",3,1,0.3333333333333333
Keliweb S.R.L,3,1,0.3333333333333333
ITZBund,3,0,0.0
